taxonID,taxonKey,scientificName,action,acceptedKey,accepted
32802,148742516,"Jassa marmorata Holmes, 1903",scientificName_replaced_by_backbone_name,,
33450,148742517,Populus trichocarpa Torr. & Gray ex Hooker,merged_with_accepted,201358033,Populus balsamifera L.
33620,148742519,Salix daphnoides subsp. acutifolia (Willd.) Ahlfv.,merged_with_accepted,201358026,Incertae sedis
33616,148742526,Salix babylonica,merged_with_accepted,201358029,Incertae sedis
33614,148742529,Salix alba var. vitellina (L.) Ser.,merged_with_accepted,201358023,Incertae sedis
33613,148742531,Salix alba var. sericea Gaud.,merged_with_accepted,201358023,Incertae sedis
33612,148742532,Salix alba,merged_with_accepted,201358023,Incertae sedis
33624,148742533,Salix stipularis Sm.,scientificName_replaced_by_backbone_name,,
33621,148742538,Salix elaeagnos subsp. angustifolia (Cariot) Rech.fil.,scientificName_replaced_by_backbone_name,,
32613,148742541,"Gecarcinus lateralis (GuÃ©rin, 1832)",scientificName_replaced_by_backbone_name,,
33619,148742542,Salix calodendron Wimm.,scientificName_replaced_by_backbone_name,,
33438,148742553,Populus berolinensis C.Koch,not_matched_with_backbone,,
33439,148742554,Populus canadensis Moench,scientificName_replaced_by_backbone_name,,
33443,148742555,Populus canadensis var. serotina (T.Hartig) Rehder,merged_with_accepted,148742554,Populus canadensis Moench
33442,148742557,Populus canadensis var. regenerata (A.Henry) Rehder,merged_with_accepted,148742554,Populus canadensis Moench
33441,148742559,Populus canadensis var. marilandica (Bosc. ex Poir.) Rehder,merged_with_accepted,148742554,Populus canadensis Moench
33440,148742562,Populus canadensis var. eugenei (Simon-Louis) Schelle,merged_with_accepted,148742554,Populus canadensis Moench
33444,148742563,Populus canescens Sm.,scientificName_replaced_by_backbone_name,,
33447,148742569,Populus nigra var. italica (Moench.) Koehne,scientificName_replaced_by_backbone_name,,
33448,148742571,Populus simonii CarriÃ¨re,scientificName_replaced_by_backbone_name,,
31882,148742576,"Astacus leptodactylus Eschscholtz, 1823",merged_with_accepted,201358069,"Pontastacus leptodactylus (Eschscholtz, 1823)"
32164,148742588,Chamaesyce prostrata (Aiton) Small,merged_with_accepted,201358048,Euphorbia prostrata Ait.
32163,148742593,Chamaesyce nutans (Lag.) Small,merged_with_accepted,201358045,Euphorbia nutans Lag.
33056,148742601,"Microchordeuma voigtii Verhoeff, 1899",merged_with_accepted,201357587,"Melogona voigtii (Verhoeff, 1899)"
33258,148742613,"Paraspirobolus dictyonotus (Latzel, 1895)",merged_with_accepted,201357599,"Julus lucifugus Gervais, 1837"
32968,148742614,Lythrum junceum Banks & Solander,scientificName_replaced_by_backbone_name,,
33163,148742619,Oenothera rubricaulis Klebahn,scientificName_replaced_by_backbone_name,,
33164,148742620,Oenothera strigosa,scientificName_replaced_by_backbone_name,,
33160,148742622,Oenothera canovirens Steele,scientificName_replaced_by_backbone_name,,
32350,148742624,"Cylindroiulus londinensis (Leach, 1815)",merged_with_accepted,201357597,"Iulus londinensis Leach, 1815"
32586,148742626,Fuchsia Ã—hybrida Voss,not_matched_with_backbone,,
32352,148742628,"Cylindroiulus parisiorum (BrÃ¶lemann & Verhoeff, 1896)",scientificName_replaced_by_backbone_name,,
